               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087374,            0.029671,            0.021438,                   0,                   0,                   0,                   0,            0.036273,            0.019207,           0.0090991,              0.0955,              0.0005,              0.0005
                   1,            0.071019,            0.030774,            0.018276,                   0,                   0,                   0,                   0,            0.035962,            0.018423,           0.0090896,            0.090096,           0.0010964,           0.0010964
                   2,            0.083958,            0.028866,            0.021949,                   0,                   0,                   0,                   0,            0.035665,            0.017932,           0.0090828,            0.084689,           0.0016888,           0.0016888
                   3,            0.068858,             0.02986,            0.018867,                   0,                   0,                   0,                   0,            0.035573,            0.017621,           0.0090792,            0.079277,           0.0022772,           0.0022772
                   4,            0.070618,            0.030438,            0.019831,                   0,                   0,                   0,                   0,            0.035429,            0.017293,           0.0090744,            0.073862,           0.0028617,           0.0028617
                   5,             0.07646,            0.031063,            0.020711,          0.00036206,             0.16667,           0.0002903,           2.903e-05,            0.035248,            0.017022,           0.0090705,            0.068442,           0.0034422,           0.0034422
                   6,             0.07519,            0.031415,            0.021375,           0.0003647,             0.16667,          0.00029257,          2.9257e-05,            0.035059,             0.01675,           0.0090662,            0.063019,           0.0040188,           0.0040188
                   7,            0.062332,            0.030744,            0.018185,                   0,                   0,                   0,                   0,            0.034973,            0.016461,           0.0090608,            0.057591,           0.0045914,           0.0045914
                   8,            0.066719,            0.028656,            0.020232,          0.00054348,             0.16667,           0.0018722,          0.00018722,            0.034687,             0.01619,           0.0090539,             0.05216,           0.0051601,           0.0051601
                   9,            0.065715,            0.031011,            0.019533,           0.0003858,             0.16667,            0.001378,           0.0001378,            0.034466,            0.015997,           0.0090479,            0.046725,           0.0057248,           0.0057248
                  10,            0.075978,            0.034423,            0.022754,           0.0003785,             0.16667,           0.0012348,          0.00012348,              0.0343,             0.01584,            0.009042,            0.041285,           0.0062855,           0.0062855
                  11,            0.064037,            0.029078,            0.019922,          0.00038226,             0.16667,          0.00092821,          9.2821e-05,            0.034065,            0.015673,           0.0090336,            0.035842,           0.0068423,           0.0068423
                  12,            0.057636,            0.031558,             0.01813,          0.00037994,             0.16667,          0.00090508,          9.0508e-05,            0.033786,            0.015492,           0.0090252,            0.030395,           0.0073951,           0.0073951
                  13,            0.068782,            0.031474,             0.02097,          0.00038197,             0.16667,           0.0010224,          0.00010224,            0.033536,            0.015295,           0.0090151,            0.024944,           0.0079439,           0.0079439
                  14,            0.067638,            0.030668,            0.021388,          0.00038168,             0.16667,           0.0012583,          0.00012583,            0.033334,            0.015195,           0.0090103,            0.019489,           0.0084888,           0.0084888
                  15,            0.056715,              0.0293,            0.017984,          0.00037175,             0.16667,           0.0013197,          0.00013197,            0.032849,            0.015006,           0.0089987,             0.01403,           0.0090297,           0.0090297
                  16,            0.062141,            0.031434,            0.019313,            0.000369,             0.16667,           0.0014108,          0.00014108,            0.032879,            0.014877,           0.0089912,            0.009472,            0.009472,            0.009472
                  17,            0.067699,            0.028697,            0.020993,           0.0003701,             0.16667,           0.0014112,          0.00014112,            0.032579,            0.014628,           0.0089799,            0.009472,            0.009472,            0.009472
                  18,             0.05289,            0.028481,            0.018353,            0.000369,             0.16667,           0.0011893,          0.00011893,            0.032428,            0.014493,           0.0089739,            0.009439,            0.009439,            0.009439
                  19,            0.067631,            0.029257,            0.021152,          0.00037202,             0.16667,          0.00083313,          8.3313e-05,            0.032655,            0.014165,           0.0089586,            0.009406,            0.009406,            0.009406
                  20,            0.069911,            0.029552,            0.020414,          0.00041946,             0.16667,          0.00063763,          6.3763e-05,             0.03316,            0.014024,           0.0090146,            0.009373,            0.009373,            0.009373
                  21,            0.074015,            0.029073,            0.022245,           0.0044794,             0.16667,            0.032649,           0.0068297,            0.029243,            0.013555,            0.011365,             0.00934,             0.00934,             0.00934
                  22,            0.083821,            0.029953,            0.025149,           0.0052289,             0.16667,            0.037585,             0.01197,            0.028422,            0.012879,            0.012296,            0.009307,            0.009307,            0.009307
                  23,            0.072434,            0.030185,            0.022067,           0.0028966,             0.83333,            0.037938,            0.013044,            0.028162,            0.011619,            0.015335,            0.009274,            0.009274,            0.009274
                  24,            0.065737,            0.028783,            0.020543,           0.0011691,                 0.5,            0.010499,           0.0064842,            0.031649,           0.0097633,            0.024128,            0.009241,            0.009241,            0.009241
                  25,             0.07467,            0.032832,            0.023422,            0.093985,             0.33333,            0.076558,             0.01826,            0.035465,           0.0084145,            0.046355,            0.009208,            0.009208,            0.009208
                  26,            0.053708,            0.029469,            0.018038,           0.0042417,             0.66667,           0.0063755,           0.0014845,            0.039454,           0.0083614,            0.049001,            0.009175,            0.009175,            0.009175
                  27,            0.060595,            0.029557,            0.019151,           0.0035311,                 0.5,           0.0040041,          0.00078179,            0.041992,           0.0083991,            0.051029,            0.009142,            0.009142,            0.009142
                  28,            0.056923,            0.032895,            0.019336,           0.0022335,             0.33333,           0.0016853,          0.00038492,            0.040866,            0.010555,            0.054029,            0.009109,            0.009109,            0.009109
                  29,            0.071734,            0.030346,            0.020627,                   0,                   0,                   0,                   0,            0.044735,           0.0049338,             0.08631,            0.009076,            0.009076,            0.009076
                  30,            0.064738,            0.030195,            0.019508,          0.00072046,             0.33333,           0.0031484,          0.00031484,            0.045471,           0.0041273,             0.10718,            0.009043,            0.009043,            0.009043
                  31,             0.06666,            0.027794,            0.019581,             0.54377,             0.33333,            0.049837,            0.010559,            0.036495,            0.012401,             0.10672,             0.00901,             0.00901,             0.00901
                  32,            0.066394,            0.033626,            0.020679,           0.0095911,             0.16667,           0.0052817,           0.0014405,            0.039287,            0.014048,            0.094849,            0.008977,            0.008977,            0.008977
                  33,            0.053264,            0.026753,             0.01576,             0.51113,             0.16667,            0.013258,           0.0023045,            0.043935,            0.021159,             0.10086,            0.008944,            0.008944,            0.008944
                  34,            0.061996,            0.027442,            0.020295,             0.58197,             0.16667,             0.18731,            0.020925,            0.038667,            0.030038,             0.12284,            0.008911,            0.008911,            0.008911
                  35,            0.068385,            0.025555,            0.021253,             0.60075,                 0.5,             0.15577,            0.063884,            0.031629,            0.023592,             0.17076,            0.008878,            0.008878,            0.008878
                  36,            0.063554,            0.029045,            0.021544,             0.58018,             0.16667,            0.097738,            0.036891,            0.032364,            0.023679,             0.23137,            0.008845,            0.008845,            0.008845
                  37,            0.064764,            0.031369,            0.019101,             0.55173,             0.16667,            0.054049,            0.026749,            0.032116,            0.026623,             0.25405,            0.008812,            0.008812,            0.008812
                  38,            0.050102,            0.026768,            0.014612,             0.51012,             0.33333,           0.0089486,           0.0015207,            0.046653,            0.039361,              0.2428,            0.008779,            0.008779,            0.008779
                  39,            0.053342,             0.02938,            0.018964,             0.54956,             0.33333,            0.071577,            0.030833,            0.037366,            0.051105,             0.21319,            0.008746,            0.008746,            0.008746
